,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29),(30),(31),(32)
VARIABLES,gross_income,gross_income,gross_income,gross_income,gross_income,gross_income,gross_income,gross_income,gross_income,gross_income,gross_income,gross_income,gross_income,gross_income,gross_income,gross_income,gross_income,gross_income,gross_income,gross_income,gross_income,gross_income,gross_income,gross_income,gross_income,gross_income,gross_income,gross_income,gross_income,gross_income,gross_income,gross_income
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metascore,"1,447,723***","834,000***","993,997***","895,861***",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"(333,609)","(266,382)","(255,337)","(279,314)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
budget,,1.07***,.93***,1.1***,,1.07***,.922***,1.09***,,.785***,.679***,.811***,,.886***,.764***,.9***,,1.07***,.927***,1.09***,,1.07***,.928***,1.09***,,1.08***,.931***,1.09***,,1.07***,.944***,1.09***
,,(.0828),(.0845),(.0887),,(.0853),(.0874),(.0901),,(.0953),(.0948),(.0946),,(.1),(.1),(.0999),,(.0851),(.0872),(.09),,(.0858),(.0879),(.0905),,(.0862),(.0885),(.0908),,(.0842),(.086),(.09)
avg_screens,,,"26,342***",,,,"25,741***",,,,"22,433***",,,,"23,699***",,,,"25,678***",,,,"25,608***",,,,"25,686***",,,,"24,662***",
,,,"(5,666)",,,,"(5,722)",,,,"(5,327)",,,,"(5,574)",,,,"(5,729)",,,,"(5,751)",,,,"(5,779)",,,,"(5,744)",
duration,,,,"-224,587",,,,"-238,008",,,,"-737,309**",,,,"-606,647*",,,,"-231,789",,,,"-202,237",,,,"-182,611",,,,"-185,181"
,,,,"(301,361)",,,,"(310,611)",,,,"(292,601)",,,,"(318,364)",,,,"(311,222)",,,,"(311,452)",,,,"(313,897)",,,,"(304,283)"
rating100,,,,,"3,123,234***","1,318,496**","1,595,827***","1,468,018***",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"(624,470)","(507,239)","(487,272)","(543,993)",,,,,,,,,,,,,,,,,,,,,,,,
rating_count,,,,,,,,,397***,211***,207***,250***,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,(30.6),(35),(33.6),(37.9),,,,,,,,,,,,,,,,,,,,
critic_review_count,,,,,,,,,,,,,"344,667***","145,420***","147,458***","181,855***",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"(31,356)","(36,141)","(34,622)","(40,669)",,,,,,,,,,,,,,,,
avg_rating_per_demoaged_1829,,,,,,,,,,,,,,,,,"29,384,363***","12,489,237**","15,175,959***","13,916,272***",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"(6,127,438)","(4,945,144)","(4,751,962)","(5,308,789)",,,,,,,,,,,,
avg_rating_per_demoaged_3044,,,,,,,,,,,,,,,,,,,,,"30,028,289***","11,724,143**","14,549,232***","12,976,625**",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"(6,229,546)","(5,062,598)","(4,870,456)","(5,424,819)",,,,,,,,
avg_rating_per_demoaged_45,,,,,,,,,,,,,,,,,,,,,,,,,"30,369,310***","10,920,615**","14,190,793***","12,137,854**",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"(6,482,539)","(5,294,005)","(5,103,907)","(5,701,089)",,,,
avg_rating_per_demoaged_under_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,913,073***","11,923,857***","13,220,019***","12,763,665***"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(5,556,738)","(4,408,132)","(4,228,680)","(4,626,103)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observations,211,193,193,193,211,193,193,193,211,193,193,193,211,193,193,193,211,193,193,193,211,193,193,193,211,193,193,193,210,192,192,192
R-squared,.0827,.523,.572,.525,.107,.516,.563,.517,.445,.579,.615,.593,.366,.538,.578,.547,.0991,.515,.562,.516,.1,.512,.559,.514,.095,.51,.556,.511,.0881,.516,.559,.517
Standard errors in parentheses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*** p<0.01, ** p<0.05, * p<0.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
